的	白勹丶
拳	半手
浜	氵斤廾
錫	金日勿
淫	氵爪丿士
職	耳立日戈
宅	宀丿七
掌	小冖口手
培	土立口
莉	艹禾刂
損	扌口貝
握	扌尸至
謀	言甘木
廟	广十日十月
孤	子瓜
壯	爿士
規	夫見
頗	皮頁
宣	宀二日
尖	小大
討	言寸
漸	氵車斤
耗	耒毛
息	自心
伍	亻二乂
壽	士㇕工一口寸
逢	之夂丰
桃	木儿⺍
壁	尸口辛土
漆	氵木人水
暫	車斤日
虹	虫工
丸	丸
券	半刀
縫	糸之夂丰
俱	亻目廾
菊	艹勹米
奴	女又
岸	山厂干
凝	冫匕矢龴足
芝	艹之
脈	月𠂆亻
烈	一夕刂火
貪	亼㇕貝
婆	氵皮女
蝶	虫廿乚木
誇	言大丂一
枕	木冖儿
毀	臼土殳
避	之尸口辛
浮	氵爪子
枚	木攵
材	木十丿
賞	小冖口貝
翁	八厶习习
幻	幺㇕
固	圍十口
耀	小兀习习隹
槽	木一曲日
穴	穴
幅	巾一口田
審	宀釆田
斬	車斤
伸	亻申
悲	非心
萌	艹日月
斑	王文王
牽	亠幺冖牛
屈	尸屮凵
怨	夕卩心
恐	工凡心
凍	冫木日
複	衤𠂉日夂
柴	止匕木
逆	之䒑屮
僞	亻爲
騷	馬又冫虫
熙	臣巳火
忽	勿心
津	氵彐キ
胎	月厶口
糧	米日一田土
譜	言立立日
准	冫隹
摩	广木木手
縮	糸宀亻一白
漫	氵日四又
溜	氵卯田
棄	亠厶廿木
扇	户习习
憂	一白冖心夂
墓	艹日大土
鹿	鹿
彬	木木彡
卿	丿凵艮卩
鶴	冖隹鳥
函	丂⺍凵
確	石冖隹
郡	尹口阝
奈	大示
茂	艹戊
緩	糸爪一𠂇又
協	十力力力
債	亻丰貝
肌	月几
薰	艹千四二火
映	日冂大
鼻	自田廾
育	亠厶月
候	亻丨コ矢
堅	臣又土
閉	門十丿
決	氵㇕大
適	之亠八冂十口
策	竹木冂
藤	艹月半水
雁	厂亻隹
俠	亻大人人
腸	月日一勿
窄	穴𠂉匕
昨	日𠂉匕
務	予丿夂力
爪	爪
拷	扌耂丂
